id,monster_name,normal_drop,rare_drop,trivia_1,trivia_2,source_filename
1105,時獄獣キュロノス,,,発展強化型ヘルゲゴーグ4体のすべての能力を取り込んで完成した究極の魔法生物にして肉体を持たぬキュロノスの器。,4体のヘルゲゴーグの孵化に必要となる莫大なエネルギーは竜神の心臓により賄われた。そこに宿る魔瘴と共に……。,1105.webp
1106,時元神キュロノス,,,時獄獣の肉体を滅ぼすことで自身の能力に最適化した形態に構成しなおすことこそがキュロノスの真の狙いだった。,時元神に進化したキュロノスは肉体の制約に縛られることなく時渡りのチカラを自在に使う神にも等しい存在へと至った。,1106.webp
1107,旅芸人ピュージュ,,,魔界の門を開くために人々を争わせ 戦禍のタネを集めていた正体不明の道化師。無数の分身体が存在する。,数人集まれば 遊びが始まる。最近のお気に入りの遊びはメラゾーマドッジボール。先に消し炭になった方が負け。,1107.webp
1108,湖の魔獣ボルゲルグ,まじゅうの皮,まじゅうのツノ,ベルヴァイン湖のほとりに住み着いた 荒れ狂った魔獣。魔瘴の影響で我を失っており見境なく誰にでも襲いかかる。,じつは 銀翼竜の美しさに引き寄せられて湖へ来た。しつこく銀翼竜を攻撃するのはあこがれの裏返しなのである。,1108.webp
1109,レイジバルス,よごれたほうたい,げんませき,激怒したアスバルが持ち前の魔力で召喚したかつてゼクレスに敵対し封印された邪悪な巨人。,ゼクレス王家の始祖に封印され以来使い魔として扱われる。王族の中でも 強大な魔力を持つ者だけが使役できる。,1109.webp
1110,キラーホイール,デモニウム鉱石,暗夜の魔石,鉱山発掘用に作られた重機が戦闘用に改造されたもの。ブラニック採石場はほとんどこいつ1体で掘り抜いた。,バルディスタ要塞では意外にも戦闘や開墾の負担を減らすため機械化にチカラを入れており技術研究に余念がないらしい。,1110.webp
1111,狂信者ヤイル,,,バルディスタ軍の若き将校ヤイルが秘術で変身した姿。この術と不断の努力によって彼は軍高官にまで上り詰めた。,太古から変化の秘術を伝えるある氏族の出身だったヤイル。氏族はすでに滅びたが術はかろうじて受け継がれていた。,1111.webp
1112,シシカバブ団長,まじゅうの皮,激震のキバ,ファラザードを荒らす盗賊集団シシカバブ団の団長。ヤンチャな子分を引き連れてチカラまかせに武器を振るう。,独特のしゃべり方をからかわれ怒って暴れるうち嫌われ者に。故郷を追われ盗賊になった今も心に深いキズが刻まれている。,1112.webp
1113,呪われたシシカバブ,まじゅうの皮,激震のキバ,エルガドーラの呪いによって限界を超えたチカラを発揮しユシュカを倒すまで戦い続ける復讐鬼と変わり果てた姿。,本当は ずっと夢に見ていた。誰かに 必要とされることを。ただ 言ってほしかったお前がいてくれてよかったと。,1113.webp
1114,デモンズゲイト,幻獣の皮,暗夜の魔石,数々の試練の果てに待ち受けるデモンズクラウンの門番。大魔王候補者の数だけ分身して等しく試練を与えるという。,魔仙卿の魔力の限り復活する。大魔王選出が終わると暇なのでスッテンテンの姿に戻ってふもとの集落に現れるとか。,1114.webp
1115,魔王ユシュカ,,,血の契約を交わした ふたりが大魔王の座をかけて対決する。ゆずれない思いを抱く者同士最後に勝つのはどちらか？,隊商の傭兵から剣技を教わり縁の深い亡国で戦術をみがいたユシュカ独自の戦闘スタイルは己の思想を体現している。,1115.webp
1116,闇の根源の幻影,,,漆黒の騎士の姿で現れた大いなる闇の根源の末端。自らの魔瘴を打ち払うために超えなければならない試練だ。,大いなる闇が問いかける。生まれた時代を 真の姿を殺した敵を 魂の在りかを。その真意は計り知れない。,1116.webp
1117,魔瘴竜ジャオマンダ,ドラゴンの皮,激震のキバ,大いなる闇の根源より生まれた魔瘴魂と呼ばれる魔物の1匹。マデサゴーラの芸術のため絵画に封印されてしまった。,共に封じられた魔物たちを食べ成長し 半身が出られた。封印を解こうと覇印を食ったが役には立たなかったようだ。,1117.webp
1118,ゾブリス将軍,よごれたほうたい,げんませき,残虐な策略でネクロデアを滅ぼしたバルディスタの将軍。絶望に沈んだ魔族の目玉を結晶化させた魔瘴をあやつる。,虐げられて醜くゆがんだ少女は魔術で理想の姿に変じた後美しいものをけがすことで復讐を果たす快感におぼれた。,1118.webp
1119,カーボーン将軍,,,4本の武器をはげしく振るいバルディスタに害なす敵を冷酷に切り裂く武人。マットな質感の暗黒肌が自慢。,バルディスタの処刑執行人を担っていたが ヴァレリア自ら手を下しがちで仕事がないためベルトロ判断で配置換えした。,1119.webp
1120,太古の魔人,,,ミアラの宝杖の魔力によって凶暴な魔人と化したアスバル。閃光を放つ額の宝玉は封じたが壮絶な破壊衝動は止まらない。,太古の昔 当時のゼクレス王が禁呪に手を染め魔人と化した。ミアラ妃は命を代償に杖を作り宝玉に夫を封印したという。,1120.webp
1121,タリスマンの守護者,よごれたほうたい,たそがれゴケ,朽ちた霊廟を訪れし者のうち知恵とチカラを兼ね備え志ある魔族にのみ 秘術の宿るタリスマンを与えるという。,ひとりの弟子も取らずいかなる魔王にも仕えずにひたすら魔術の道を探求せし孤高なる魔道士の成れの果て。,1121.webp
1122,魔瘴魂オジャロス,ガマのあぶら,げんませき,数百年もの間 かぶり続けた良き叔父という仮面をかなぐり捨て 邪悪なる本性をあらわにしたオジャロスの姿。,前王イーヴと姉エルガドーラの婚礼の日 一対の人形のように美しいふたりを目にしたとき復讐を決意したという。,1122.webp
1123,ギャノン弟,ゴールドストーン,きんかい,敵味方関係なく襲いかかる残虐さゆえ ヴァレリアによりバルディスタから追放された無法者兄弟の弟分。,他人は見境なく手にかけるが兄弟仲は非常に良好。兄の誕生日には強奪した金で毎年 盛大な宴を催すという。,1123.webp
1124,魔王ヴァレリア,,,数多の戦場を駆け抜け 国を興すまでに上りつめた魔王。その武力は魔界最強と名高く一閃で騎馬の群れもなぎ払う。,その美貌からファンも多く何度も交際を申し込んでは返り討ちになっている者多数。彼女の婿取りはあり得るのか？,1124.webp
1125,魔瘴魂グウィネーロ,,,魔仙卿が召喚した魔瘴をまき散らす邪霊。余りに濃密なその魔気は意思を持って動きだす。,かつて大いなる闇の根源からはがれおちた皮ふの欠片に命が宿り グウィネーロと呼ばれるようになった。,1125.webp
1126,巨大魔瘴魂,,,ジャディンの園の地下より噴出した魔瘴が意思を持ちおそるべき魔物の姿となって大魔王の前に立ちはだかる。,魔瘴によって失われた命を取り込み 己のチカラに変えて巨大化する邪悪な魂。自己の強化に余念がない。,1126.webp
1127,邪神ダビヤガ,,,七柱の種族神に対抗するため異界滅神ジャゴヌバが己の暴虐なる闘争心より生み出した破壊と殺りくを好む邪神。,本来は竜族の神ナドラガを倒すために生み出されたが当のナドラガが闇落ちしたので祖神の護衛に役割を変えた。,1127.webp
1128,土の祠の守護者,ドワチャカオイル,グリーンオーブ,カルサドラ火山の女神の祠にて光の神装を守護する番人。イルーシャの女神の依代たる資質を試すために戦った。,種族神 土の神ワギが神話の時代に生みだした。実体や意識を持たず試練の時だけ姿を顕現させる。,1128.webp
1129,花の祠の守護者,,,けがれの谷の女神の祠にて光の神装を守護する番人。イルーシャの女神の依代たる資質を試すために戦った。,種族神 花の神ピナヘトが神話の時代に生みだした。作られて以来 稼働するのは今回が初めてであった。,1129.webp
1130,水の祠の守護者,ウェナールシェル,ブルーオーブ,シエラ巡礼地の女神の祠にて光の神装を守護する番人。イルーシャの女神の依代たる資質を試すために戦った。,種族神 水の神マリーヌが神話の時代に生みだした。封じられた邪神のチカラを抑制する役割も持つという。,1130.webp
1131,風の祠の守護者,,,呪われた大地の女神の祠にて光の神装を守護する番人。イルーシャの女神の依代たる資質を試すために戦った。,種族神 風の神エルドナが神話の時代に生みだした。守護者の姿は種族神たちの好みが反映されているらしい。,1131.webp
1132,邪神ヤファギル戒,,,ジャゴヌバの心から生まれた禁忌を司る邪神。ルファ神殿の道を閉ざし妨害してきた。カラスの仮面を被っている。,ヤファギルが封じられた地はその怨念によって汚染され禁忌として畏れられる呪われた大地となった。,1132.webp
1133,邪神ヤファギル断,,,ジャゴヌバの心から生まれた禁忌を司る邪神。ルファ神殿の道を閉ざし妨害してきた。シギの仮面を被っている。,結界や封印など敵の行動を妨害する能力に特化した邪神。三体分身の術はとっておきでつい自慢せずにはいられない。,1133.webp
1134,邪神ヤファギル封,,,ジャゴヌバの心から生まれた禁忌を司る邪神。ルファ神殿の道を閉ざし妨害してきた。ニワトリの仮面を被っている。,エルフの神エルドナを倒すために生み出されたがエルドナとルティアナの共闘によって あえなく封印された。,1134.webp
1135,邪神ピュージュ,,,ジャゴヌバの心から生まれたすべてを嘲弄する道化の邪神。無数の分身体が集合すると真のチカラを 発揮できる。,プクリポの神ピナヘトを倒すために生み出されたがお互い真っ向勝負は性に合わず化かし合いに終始したらしい。,1135.webp
1136,邪神ヴァニタトス,幻獣のホネ,おぼろ水晶,異界滅神ジャゴヌバの虚無なる心から生まれた邪神。女神の魂を喰らい その存在を世界から忘却させようとした。,人間の神グランゼニスに対抗し生みだされたこと以外は忘却の彼方に消え去ったようにすべてが謎に包まれている。,1136.webp
1137,魔瘴魂ゼノドラゴン,,,覚醒したジャゴヌバの命令でザハディガル岩峰の魔瘴塚にとりついて魔瘴を放出しているドラゴンの姿をした魔瘴魂。,魔瘴塚の内部は魔界の地底まで伸びる長い管になっていて周囲の地盤から魔瘴をくみ上げ大魔瘴期を深刻化させている。,1137.webp
1138,激憤の魔瘴竜,,,闇の根源の秘密に通じる魔仙卿を追い詰めるために放たれた魔瘴魂。無尽の怒りが凶悪な竜の姿で襲いかかる。,なぜ魔瘴が生まれたのか？なぜ魔瘴が意思を持ったのか？その答えは 闇の根源が潜む魔界の地の底に眠っている。,1138.webp
1139,闇の根源の呪縛,,,黄金の鎧の騎士の姿で現れた大いなる闇の根源の末端。血の鎖で縛られた契約を破り大切な家族をその手で救え！,大いなる闇は 満足げに笑う。おそろしきものに成り果てたその者を家族だと言う貴様こそ真に おそろしきものだと。,1139.webp
1140,起源獣ガルドドン,,,神話時代から闇の眷属としてジャゴヌバに仕える古代魔族。魔祖ガルドが外法を用いて剛勇たる異形と化した姿。,アストルティアを憎む魔物を大勢集めて戦わせ 生き残った数名を外法を施すに足る優秀な素材として選抜した。,1140.webp
1141,起源将ジェルザーク,,,神話時代から闇の眷属としてジャゴヌバに仕える古代魔族。魔祖ザークが外法を用いて灼熱を宿す異形と化した姿。,責任者をわかりやすくするため魔祖の血族たちは それぞれに外法を施した魔祖の名前から一部をもらって名づけられた。,1141.webp
1142,起源魔スコルパイド,,,神話時代から闇の眷属としてジャゴヌバに仕える古代魔族。魔祖スコルが外法を用いて甲殻を持つ異形と化した姿。,かつて魔祖は7人いた。中でも紅一点の魔祖シュナは最凶の異形を生みだしたが代償に魂が消滅したという。,1142.webp
1143,起源鎧デルメゼ,,,神話時代から闇の眷属としてジャゴヌバに仕える古代魔族。魔祖メゼが外法を用いて迅雷を宿す異形と化した姿。,愛するシュナを失って以後メゼの心は急速に闇に侵食され妻の忘れ形見を守るのに執心しとうとう外法に手を染めた。,1143.webp
1144,大魔王ユシュカ,,,闇の根源のチカラをそそがれ支配欲におぼれた傲慢な邪竜。闇の魔力で魔剣アストロンの幻影を出現させ敵を斬り刻む。,大魔王になったら火を吹く竜に変身してヒゲも立派に伸びる！そう力説する赤毛の少年に呆れる幼なじみがいたとか。,1144.webp
1145,異界滅神ジャゴヌバ,,,大いなる闇の根源と呼ばれる全ての魔瘴を生みだせし存在。アストルティアに降りかかった数多の悲劇の元凶である。,神話の昔 はるか彼方より飛来したという未知の存在が女神のチカラを吸収して変異。異界滅神が誕生したという。,1145.webp
1146,絶対滅神ジャゴヌバ,,,女神の光さえ飲みくだしあまねくものを支配することで絶対の存在となった滅びの神。その闇の深淵は底知れない。,達したと思われた協調の真髄は真の協調の前に敗れ去った。神話時代からの悠久の戦いにかくして幕が下ろされた。,1146.webp
1147,暗黒の手,,,ジャゴヌバのどん欲な想念が具現化した求め欲するもの。大いなる闇の根源の象徴として様々な場面で暴れまわった。,大魔王選出の儀のときは求める者が魔族化していたためわずかに反応を示しつつも判別できなかったらしい。,1147.webp
1148,儀礼の評定者,,,戦士の儀礼場にて白灰の試練に挑む英雄を待ち受ける最後の関門として審判の天使が配備した精霊。,儀礼の評定者は挑む英雄にふさわしい強さに変化する。次なる英雄の前に現れしときいかなる姿と技を見せるのか？,1148.webp
1149,厄魔ポヴァディウス,,,世の金持ちという金持ちにはげしい恨みを抱く悪魔。憎悪の風を巻き起こし財産を根こそぎ奪っていく。,犠牲者を震えあがらせるため威厳のある話し方を一生懸命練習した。油断すると素が出るらしい。,1149.webp
1150,祭壇の狩人,しんせんたまご,ささやく枯れ葉,命脈の神殿の最奥にある祭壇で深翠の試練に挑むタマゴの資質を試す二体の神獣の一方。戦う時は常に二体で連携する。,じつは自らもタマゴ出身で祭壇の守人と同じタマゴから生まれた。ずっと一緒なのでひとりの時間がほしいらしい。,1150.webp
1151,祭壇の守人,しんせんたまご,ナイトメアリーフ,命脈の神殿の最奥にある祭壇で深翠の試練に挑むタマゴの資質を試す二体の神獣の一方。戦う時は常に二体で連携する。,じつは自らもタマゴ出身で試練に挑むタマゴを兄弟と感じ愛おしく思っている。とはいえ試練に私情は挟まない。,1151.webp
1152,暴走したコウリン,,,深翠の試練のタマゴから生まれた神獣だが何者かの企てにより悪しきチカラが暴走し我を失ってしまった。,ハクオウへの憧れの気持ちが裏返しとなって暴走しハクオウを執拗に狙う。だが本心ではお父さん大好き。,1152.webp
1153,ハングリーハンター,まじゅうの皮,激震のキバ,紺碧の試練場に生息する獰猛な魔物。常に腹ペコでナワバリに立ち入った者には容赦なく襲いかかる。,英雄の強さを重視するカンティス好みの魔物。彼のことは群れのリーダーと認識しており絶対服従。,1153.webp
1154,ホーリーキング,,,紺碧の試練の守り人をつとめる天星郷でも指折りの実力者。英雄たちの強さを試すため公明正大に勝負を挑む。,オフの日はスライムに分裂してカンティスの家で過ごす。よく夜ふかしやイタズラをして家主に怒られるヤンチャぶり。,1154.webp
1155,汚染源ヘドロヌーバ,,,何者かにより脈動する鉱石を埋め込まれケタ違いの強さを持つに至ったドロヌーバ。その時 身体の色も変化した。,きれいな水を汚染させることに無上の喜びを感じる迷惑者。通常ドロヌーバより水分豊富で日照りに強いのも小憎らしい。,1155.webp
1156,ラダ・ガート,,,神化の儀に臨み 神のチカラを手に入れたラダ・ガート。しかし その人格は悪に染まりすっかり ゆがんでいた……。,導きの天使の誘いに乗って英雄として試練に挑んだが天使たちの不遜な態度には終始 憤りを感じていた。,1156.webp
1157,悪神ラダ・ガート,,,神のチカラを使い異形の姿に変身したラダ・ガート。天使への反感が無限に増大して天星郷を滅ぼせと駆り立てる。,生前の悔恨を刺激し悪意を増幅させる黒い炎が燃え盛り理性の歯止めすら効かずラダ・ガートは屈服した……。,1157.webp
1158,悪神 三闘士,ドワチャカオイル,悲願の血涙,悪神の火種が過去の心の傷にとりつき 暴走した三闘士。民を想う気持ちがねじ曲げられ憤怒の神へと変化した。,カルサドラ火山の三闘士像は設計者が もっと大きく！強そうに！と暴走した結果あのデザインになったらしい。,1158.webp
1159,ハクオウ,,,悪神の火種が過去の心の傷にとりつき 暴走したハクオウ。悲しみに我を忘れ エルドナ大陸を 滅ぼそうとしている。,理性を失ったことで世界一とうたわれた剣技はさらに鋭さを増し 対峙するだけで背筋が凍る闘気を放つ。,1159.webp
1160,災厄の王の幻影,げんませき,暗夜の魔石,災厄の王との戦いで落命したハクオウがその絶望の記憶から生み出した幻影。執拗にハクオウを狙い つきまとう。,悪神となったハクオウのチカラで 本物の災厄の王よりさらに邪悪で強大な存在としてマガツカゼと共に蘇った。,1160.webp
1161,熱空の支配者,ゴールドストーン,きんかい,ケラコーナ原生林の空を支配する怪鳥。貴金属を好み巣に貯めこんでいる。侵入者はもちろん許さない。,お宝を期待して 頑丈な鉄箱を奪ったが開けられなかった。中身が歴史書だと知ったらさぞ落胆したことだろう。,1161.webp
1162,悪神リナーシェ,ウェナールシェル,悲願の血涙,始源の歌姫リナーシェが呪いにより悪神と化した姿。召喚して打ち放つのは かつて己の腹を貫いた婚約者の剣。,政略結婚の相手は聡明で情熱的な男だった。彼を信じ愛そうとした女は絶望の底にはいつくばって生涯を終えた。,1162.webp
1163,呪炎の傀儡,,,悪神の火種を取り込んだ審判の天使ヘルヴェル。姉と慕ってくる天使さえも無価値と断じ呪炎を燃やす。,英雄ではないヘルヴェルは呪炎を取り込んでも悪神となる素質を持たないため異形の怪物に成り果てた。,1163.webp
1164,勇者アシュレイ,レンダーシード,悲願の血涙,悪神の火種にとりつかれても暴走せず 逆にそのチカラを使いこなしたアシュレイ。神剣の一撃にも屈さなかった。,初代勇者として生まれ育ち大魔王ゴダを打倒するが同時に弟や師を失ったことが心に深い影を落としている。,1164.webp
1165,悪神アシュレイ,レンダーシード,悲願の血涙,初代勇者アシュレイが呪炎に飲み込まれて悪神と化した姿。レオーネに対する強い罪悪感が呪炎の侵食で暴走した。,ゼドラ王国の国王となったが反乱の火種を見過ごして国家分裂の危機を招くなど王としての資質に欠けていた。,1165.webp
1166,悪神の右手,,,中心核のエネルギーを奪うためレオーネにより生み出された。悪神の火種を埋め込まれ膨大なキャパシティを持つ。,吸収したエネルギーを蓄積し大爆発を起こす能力を持つ。その威力は神の秘宝さえも破壊してしまうほどだ。,1166.webp
1167,ジア・ルミナ,,,ジア・クト念晶体の先兵として現れた女性型の鉱物生命体。不遜な態度と奇妙な言葉遣いでただならぬ存在感を漂わせる。,大半のジア・クト念晶体が後天的に鉱物化するのに対し生粋のジア・クトのことは偉大なる原石と称される。,1167.webp
1168,パワーストーンマン,,,天使長ミトラーのチカラを取り込みパワーアップしたストーンマン。聖なる拳であらゆるものを粉砕する。,目立ちたいという彼の夢を天使のチカラでかなえたからか変身した姿は やたらと煌びやかでゴージャスだった。,1168.webp
1169,ジア・ロダ,,,銀色に輝く硬質なボディを持つ鉱物生命体ジア・クトの眷属。ジア・ルミナの命令を受けあまたの生命を粉砕してきた。,忠犬のように ジア・ルミナについて回り 命令にしたがうが当のジア・ルミナにとってはただの番犬に過ぎない。,1169.webp
1170,ジア・ルダ,,,黒色に輝く硬質なボディを持つ鉱物生命体ジア・クトの眷属。ジア・ルミナの命令を受けあまたの生命を粉砕してきた。,ジア・ロダとは共に行動しているようだが ジア・クトにつがいという意識があるのかは不明である。,1170.webp
1171,ジア・レオーネ,,,ジア・ルミナのコアを飲み込んだことで 完全なるジア・クト念晶体として生まれ変わった レオーネ。,人類にもジア・クトにも絶望し自身のチカラだけで すべてを無に帰するために誕生したレオーネの破壊衝動の化身。,1171.webp
1172,ジア・ルーベ,,,ジア・クト念晶体の幹部として現れた少女型の鉱物生命体。炎のように感情をたかぶらせ本能のままに敵を焼き尽くす。,ケノスの念晶体を削りとってサフィルと同時に創られた。同じ原石であるルミナよりも美しい欠片を素にしたという。,1172.webp
1173,ジア・サフィル,,,ジア・クト念晶体の幹部として現れた少年型の鉱物生命体。氷のように心を凍てつかせ冷酷無比に敵を責めさいなむ。,ジア・クトの奇妙な言葉遣いは思考法の違いによるらしい。サフィルは理性を失った時だけ言葉遣いが元に戻ってしまう。,1173.webp
1174,邪精霊マガツカゼ,,,創生のチカラが偏って生まれたよこしまな精霊。けがれた風をあやつって災いを引き起こし悪意をもって命を奪い去る。,ヤマカミヌ王国に吹き荒れた暴風マガツカゼも人の絶望が創生のチカラに作用して具現化したものだという。,1174.webp
1175,暁天竜ランビリズマ,,,混沌に息づく竜たちの闘争心に反応した創生のチカラが海の底に蓄積して生まれたとてつもなく凶暴なドラゴン。,あとほんの少し創生のチカラをたくわえたら大津波を起こして大地ごとドラゴン族を滅ぼしナドラガすら喰らう気だった。,1175.webp
1176,ジア・クルヴィダ,,,ケノスの手で念晶体の構造を作り変えられたジア・ルーベとジア・サフィルが結合した姿。炎と氷の合体技を華麗に放つ。,ふたりは王の愛であり叡智だとケノスに刻み付けられてきたが互いを大切に思う気持ちだけは誰の支配も受けていない。,1176.webp
1177,神授の判定者,,,創世の女神により生み出された試練をつかさどる聖なる獣。荒ぶるチカラを使いこなせるか否かを見極める役目を担う。,力量が基準に達していなければ鬼神のごとく戦い続ける。逆に力量があると認めれば即座に剣を収めるという。,1177.webp
1178,念晶巨人,,,ジア・クト念晶体が製造した創生のチカラを奪取するための超兵器。奪取したチカラは魔眼の月に伝送される。,ジア・クト念晶体原石の1体が念晶巨人をあやつっていた。操縦席は腹部を構成する核の奥深くに位置している。,1178.webp
1179,ジア・エイプ,,,ジア・クトの放つ結晶化の光に適応した シルバーデビル。元の魔物を はるかに凌駕する能力と凶暴性で 襲ってくる。,シルバーデビルからゴールドデビルになったとよろこんだが 与えられたのはジア・クトとしての名だった。,1179.webp
1180,ジア・ドラゴ,,,ジア・クトの放つ結晶化の光に適応した ドラゴンライダー。元の魔物を はるかに凌駕する能力と凶暴性で 襲ってくる。,愛竜から過酷なダイエットを迫られていたが念晶体となり体重の変化がなくなったためダイエットからも解放された。,1180.webp
1181,ジア・ゲイナス,,,ジア・クトの放つ結晶化の光に適応した セルゲイナス。元の魔物を はるかに凌駕する能力と凶暴性で 襲ってくる。,ナスビナーラから進化したとの風説を否定したいがため 己は生粋のジア・クトであるとのマインドセットに余念がない。,1181.webp
1182,ジア・ロック,,,爆撃の精度を上げるため知性を与えられた自律式の爆弾。その見た目は奇しくもばくだんいわに似ていた。,自爆により敵を道連れにすれば偉大なる原石として新生できると信じておりためらいなく命令に従う。,1182.webp
1183,いにしえの廃棄物,ときのすいしょう,炎魔の焼け石,大昔 天星郷の浮島が墜落しそのエネルギー源だった中心核から漏れ出た残滓がこり固まって魔物と化した。,今は廃棄物と呼ばれているがいつの日か超新星のごとく輝く日が来ると信じ こつこつエネルギーを蓄えていた。,1183.webp
1184,ラダ・ガートフェイク,,,これまでの英雄たちとの戦いで収集されたデータをもとにジア・ネブラによって生みだされた偽りの存在。,ラダ・ガートの圧倒的戦力を再現した赤の鉱石戦士。ジア・ネブラは強そうな敵を模造することを楽しんでいた。,1184.webp
1185,ハクオウフェイク,,,これまでの英雄たちとの戦いで収集されたデータをもとにジア・ネブラによって生みだされた偽りの存在。,ハクオウの卓越した剣技を再現した紫の鉱石戦士。その斬撃の鋭さは本物に勝るとも劣らないものだった。,1185.webp
1186,アシュレイフェイク,,,これまでの英雄たちとの戦いで収集されたデータをもとにジア・ネブラによって生みだされた偽りの存在。,アシュレイの勇者パワーを再現した緑の鉱石戦士。どうやらジア・ネブラは剣士を好む傾向があったらしい。,1186.webp
1187,レオーネフェイク,,,これまでの英雄たちとの戦いで収集されたデータをもとにジア・ネブラによって生みだされた偽りの存在。,レオーネの盟友パワーを再現した黄の鉱石戦士。ジア化した姿でなく人の姿を模造したのは悪意か憐れみか。,1187.webp
1188,ユーライザフェイク,,,これまでの英雄たちとの戦いで収集されたデータをもとにジア・ネブラによって生みだされた偽りの存在。,ユーライザの天使の輝きを再現した白の鉱石戦士。天使の翼を再現するのにはジア・ネブラも苦戦した模様。,1188.webp
1189,ジア・クトＸＸ,,,女性型のジア・クト念晶体。鍛錬を繰り返し 来光筒の光を浴びれば 偉大なる原石に進化できると信じている。,偉大なる原石か否かは誕生時に決定されるので鍛錬で進化できるというのはジア・ネブラの虚言である。,1189.webp
1190,ジア・クトＸＹ,,,男性型のジア・クト念晶体。鍛錬を繰り返し 来光筒の光を浴びれば 偉大なる原石に進化できると信じている。,偉大なる原石に進化するのはデマカセだが 来光筒の光を浴びることで日々の錬磨による損傷は完全回復している。,1190.webp
1191,ジア・ネブラ,,,魔眼の月の要塞司令官として侵入者の排除に尽力した。ケノスに次ぐ地位を利用し魔眼の月で権勢を誇っていた。,念晶巨人を破壊されたことを内心恨んでおり 英雄たちに復讐すべく 魔眼の月の内部に陰湿なワナを張り巡らせた。,1191.webp
1192,ジア・レド・ゲノス,,,魔眼の月の玉座に鎮座するジア・クト念晶体の首領。万象の王を自称し数多の世界を結晶化させ 侵略してきた。,ジア・クト念晶体という種族の存続を至上の命題としておりそのためにはあらゆる犠牲をいとわない鋼の精神の持ち主。,1192.webp
1193,ジア・メルド・ゲノス,,,ジア・レド・ゲノスがメルド結晶化した究極の姿。魔眼の月の核と融合することでメルド結晶に変換されるのだ。,かつてはジア・クト念晶体も他種族から創生のチカラを奪うことなく自ら生みだした。種族の運命は突如変転した。,1193.webp
1194,エステラ,,,人形師エドアルドに作られたエステラを模した人形。本人を精巧に再現しているが竜への変形は実装していない。,エドアルドは人形作りのためエステラたちが町に来てから彼女らの一挙手一投足を事細かに観察していたらしい。,1194.webp
1195,ナブレット団長,,,人形師エドアルドに作られたナブレット団長を模した人形。モフモフフワフワのプク毛も完全再現のこだわりの一品。,人形が襲いかかってきた際ナブレットたちの声で話していたのもエドアルド。声帯模写もお手のもの！,1195.webp
1196,嘆きのロベール,,,精霊の泉で遭遇した謎の亡霊。いつも何かを嘆いておりその声を聞くと怨念にあてられ気分が悪くなってしまう。,かつては彼も人間だった。世界を襲った大災害によって幸せだった人生を歪められ己の不運を嘆いている。,1196.webp
1197,なぞの黒騎士,,,夜営中に現れ 戦いを挑んできた なぞの黒騎士。黒い鎧から くりだされる槍術は神業の域。,来訪者たちが怪しい者ではないと早々に気付いていたが自分に匹敵する武の達人との勝負が楽しかったと後に語る。,1197.webp
1198,フーラズーラ,,,音もなく突如現れては人を食う なぞの化け物。黒槍以外の攻撃は効かないと言われているが……。,堅牢な城はゼニアスの人々には奇跡のような安住の地だがフーラズーラにとってはエサの養殖場に等しい。,1198.webp
1199,アズ・フーラズーラ,,,大量のフーラズーラを引き連れアマラーク王国を襲撃した巨大なフーラズーラ。幾人もの命を奪った大喰らいである。,タスケテという言葉を残して消えた巨大なフーラズーラ。歴史上 言葉を話す個体が観測されたことはないようだ。,1199.webp
1200,眠りのフクロウ,,,赤く光る触角が特徴的な巨大な白いフクロウ。その不気味な鳴き声で聴く者を醒めない眠りへといざなう。,複数体でいると鳴き声をパート分けし 歌うらしいが聴いた者は眠ってしまうため最後まで歌えたことがない。,1200.webp
1201,永眠のフクロウ魔人,,,宵の神殿の番人。眠りのフクロウを生み出しメネト村の住人の眠りを長い間 維持していた。,眠りのフクロウたちとホーホー合唱団を結成しておりヒマな時は宵の神殿で発表会を開催していたらしい。,1201.webp
1202,鳥籠の番人,,,大樹の鳥籠に女神ゼネシアを封じていた謎めいた魔物。ウォルド地方を閉ざしていた存在との関係は不明である。,鳥籠の番人を命じられる前は現在とは異なる姿だったはず。かすかな記憶がそう教えるが昔の自分は思いだせない。,1202.webp
1203,ラキ,,,女神ゼネシアをねえさまと呼ぶ神出鬼没の不思議な少年。ウォルドの聖簾を閉ざすため襲いかかってくる。,大好きな とうさまとねえさまたちと共に過ごした懐かしき日々を胸に ひとりゼニアスを見守り続けてきた。,1203.webp
1204,なぞの魔狼,,,長年 聖湖ゼニートを見張り住人を町に閉じ込めていた恐るべき魔獣。ゼニスの封宮最深部に立ちはだかる。,主神グランゼニスの神獣である守護者ラキの本来の姿。神聖なチカラを秘めた雄叫びは創失の呪いをも防げるという。,1204.webp
1205,クールホーン,,,カッコいい深紅のツノが自慢。アマラーク王国の男児たちにツノを見せつけては悠々と空を飛んで 巣に戻る。,自分を倒せる者などいないとおごり高ぶっていた。なぜか 空を飛べる旅人が巣に やってくるまでは……。,1205.webp
1206,ジア・ガルネ,,,数万年前 ゼニアスを襲ったジア・クト念晶体の1体。守護天使バトラエルに対して異様な執着心を見せる。,要はジア・クトの残党だが異世界ゼニアスで 天使により封じられていたため ケノスの復活には利用されなかった。,1206.webp
1207,あくむにゅうどう,,,メネトの悪夢の手下。暁の霊堂にトープスを捕らえその見張りをしていた。……というか寝ていた。,枕が変わると眠れないデリケートな魔物。そのため愛用の枕をいつも持ち歩いている。,1207.webp
